service_id,service_type_id,client_name,hours,service_date,service_time,hourly_rate,total_revenue,branch_id,department,service_description
1,6,Dunn-Joseph,10,07/06/2023,17:33:51,1200,12000,EM,Tax,Strategy Consulting
2,6,Grimes LLC,4,25/08/2023,06:59:24,900,3600,EA,Legal,Legal Consultation
3,5,"Ramirez, Rodriguez a",7,04/03/2023,16:42:55,900,6300,AP,Audit,Annual Tax Filing
4,4,"Vaughn, Wall and Woo",1,11/12/2023,03:46:30,1200,1200,AP,Tax,Annual Tax Filing
5,5,Harris PLC,2,20/08/2023,14:32:03,600,1200,AM,Management,Quarterly Review
6,8,Ibarra Ltd,5,24/12/2023,20:06:26,1500,7500,AM,Management,Quarterly Review
7,6,Ramirez Ltd,8,18/10/2023,18:39:32,1200,9600,EM,Advisory,Market Analysis
8,1,Ferrell-Johnston,2,28/04/2023,15:47:59,1500,3000,EM,Management,Legal Consultation
9,1,Wells and Sons,7,04/11/2023,08:25:16,1200,8400,AP,Management,Legal Consultation
10,9,Jackson Group,5,19/01/2023,12:05:27,1500,7500,EM,Tax,Legal Consultation
11,4,Hayes Inc,2,03/10/2023,09:21:01,1500,3000,AM,Tax,Annual Tax Filing
12,7,"Powell, Ayala and Jo",1,17/11/2023,13:59:32,1200,1200,AM,Audit,Annual Tax Filing
13,2,Gomez-Booker,8,28/10/2023,01:00:31,900,7200,AP,Tax,Annual Tax Filing
14,2,Cobb-Buchanan,5,21/10/2023,10:42:08,1200,6000,AM,Management,Market Analysis
15,8,"Black, Wood and Warr",6,28/04/2023,20:53:50,900,5400,AP,Legal,Quarterly Review
16,3,Richardson Inc,7,07/03/2023,06:22:26,1500,10500,EM,Advisory,Quarterly Review
17,8,Washington LLC,5,20/07/2023,09:16:13,1200,6000,AP,Management,Legal Consultation
18,9,Phillips-Miller,4,13/08/2023,04:29:57,300,1200,AM,Legal,Legal Consultation
19,3,Jennings-Baker,8,06/04/2023,00:11:04,300,2400,EM,Management,Quarterly Review
20,7,Nielsen LLC,2,05/08/2023,17:41:16,1500,3000,AP,Legal,Quarterly Review
21,1,"Carpenter, Gonzalez ",2,02/08/2023,14:27:36,300,600,EM,Tax,Annual Tax Filing
22,1,Vasquez Ltd,2,24/02/2023,11:02:05,1500,3000,AM,Advisory,Legal Consultation
23,5,Peters-Shah,6,16/12/2023,23:36:45,300,1800,EM,Management,Market Analysis
24,8,"Jackson, Lewis and S",6,08/07/2023,06:53:49,1200,7200,EM,Management,Market Analysis
25,5,Williams-Patton,8,21/12/2023,02:04:48,600,4800,AM,Tax,Strategy Consulting
26,5,Monroe Group,6,11/02/2023,23:58:08,300,1800,AP,Legal,Quarterly Review
27,4,"Byrd, Stone and Sims",8,21/12/2023,05:58:58,600,4800,EM,Tax,Legal Consultation
28,3,Williams PLC,12,11/04/2023,00:10:04,1500,18000,EM,Tax,Annual Tax Filing
29,3,"Allen, Thomas and Ar",5,14/06/2023,16:46:16,600,3000,AM,Legal,Legal Consultation
30,6,Camacho-Patterson,4,24/03/2023,12:31:11,1500,6000,AM,Legal,Market Analysis
31,9,Schmidt-Poole,1,14/02/2023,08:15:19,600,600,EM,Legal,Market Analysis
32,9,Parrish and Sons,7,06/03/2023,04:23:25,600,4200,AM,Audit,Strategy Consulting
33,8,Holland-Reilly,8,08/02/2023,00:49:42,900,7200,EM,Advisory,Market Analysis
